"product_name_en","product_name_hi","short_name_hi","short_name_en","catalogues","pack_type","mrp","product_cost","brand_discount_type","brand_discount_value","cm_discount_type","original_cm_discount_value","cm_discount_value","marketer","brand_name","fulfillment_model","source","jit_source","super_category","primary_category","sub_category","product_type","ean_code","hsn_code","product_gst","shelf_life_days","original_moq","moq","item_size","delivery_days","lead_days","variant_identifier","discount_type","variant_grammage_unit","variant_grammage","brand_name_hi","variant_identifier_hi","product_images","variant_priority","product_description_md_en","product_description_md_hi","variant_grammage_value","vendor_product_id","is_combo","economic_segment","brand_categorisation","product_weight","return_window_days","replacement_window_days","country_of_origin"
"KANJEEVARAM SILK self design SAREE ","KANJEEVARAM SILK self design SAREE ","KANJEEVARAM SILK self design SAREE ","KANJEEVARAM SILK self design SAREE ","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Ethnic Wear","Sarees","fb3vf-Free Size","","","365","3","3","","","","KANJEEVARAM SILK self design SAREE  K-fb3vf","flat_off","","","","KANJEEVARAM SILK self design SAREE  K-fb3vf","https://images.meesho.com/images/products/25712475/70361_512.jpg","0","Sample Text","Sample Text","","","false","LIG","LOCAL","","","","India"
"Soft silk zari woven work saree WITH SHIBORI PRINT ALL OVER","Soft silk zari woven work saree WITH SHIBORI PRINT ALL OVER","Soft silk zari woven work saree WITH SHIBORI PRINT ALL OVER","Soft silk zari woven work saree WITH SHIBORI PRINT ALL OVER","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Ethnic Wear","Sarees","ave16-Free Size","","","365","3","3","","","","Soft silk zari woven work saree WITH SHIBORI PRINT ALL OVER S-ave16","flat_off","","","","Soft silk zari woven work saree WITH SHIBORI PRINT ALL OVER S-ave16","https://images.meesho.com/images/products/18260682/90cb3_512.jpg","0","Sample Text","Sample Text","","","false","LIG","LOCAL","","","","India"
"Trendy Cotton Slik Saree","Trendy Cotton Slik Saree","Trendy Cotton Slik Saree","Trendy Cotton Slik Saree","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Ethnic Wear","Sarees","5am7b-Free Size","","","365","3","3","","","","Trendy Cotton Slik Saree T-5am7b","flat_off","","","","Trendy Cotton Slik Saree T-5am7b","https://images.meesho.com/images/products/8893415/c98be_512.jpg","0","Sample Text","Sample Text","","","false","LIG","LOCAL","","","",""
"Stylish Women's Sarees ","Stylish Women's Sarees ","Stylish Women's Sarees ","Stylish Women's Sarees ","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Ethnic Wear","Sarees","2p3ad-Free Size","","","365","3","3","","","","Stylish Women's Sarees  S-2p3ad","flat_off","","","","Stylish Women's Sarees  S-2p3ad","https://images.meesho.com/images/products/4529893/1_512.jpg","0","Sample Text","Sample Text","","","false","LIG","LOCAL","","","",""
"Trendy Silk Sarees","Trendy Silk Sarees","Trendy Silk Sarees","Trendy Silk Sarees","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Ethnic Wear","Sarees","48b0f-Free Size","","","365","3","3","","","","Trendy Silk Sarees T-48b0f","flat_off","","","","Trendy Silk Sarees T-48b0f","https://images.meesho.com/images/products/7105983/63c12_512.jpg","0","Sample Text","Sample Text","","","false","LIG","LOCAL","","","","India"
"BEAUTIFUL KANJIVARAM SILIK SAREE","BEAUTIFUL KANJIVARAM SILIK SAREE","BEAUTIFUL KANJIVARAM SILIK SAREE","BEAUTIFUL KANJIVARAM SILIK SAREE","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Ethnic Wear","Sarees","3xfdk-Free Size","","","365","3","3","","","","BEAUTIFUL KANJIVARAM SILIK SAREE B-3xfdk","flat_off","","","","BEAUTIFUL KANJIVARAM SILIK SAREE B-3xfdk","https://images.meesho.com/images/products/6598424/363a0_512.jpg","0","Sample Text","Sample Text","","","false","LIG","LOCAL","","","","India"
"Trendy Women Cotton Silk Saree","Trendy Women Cotton Silk Saree","Trendy Women Cotton Silk Saree","Trendy Women Cotton Silk Saree","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Ethnic Wear","Sarees","54edj-Free Size","","","365","3","3","","","","Trendy Women Cotton Silk Saree T-54edj","flat_off","","","","Trendy Women Cotton Silk Saree T-54edj","https://images.meesho.com/images/products/8603335/19d35_512.jpg","0","Sample Text","Sample Text","","","false","LIG","LOCAL","","","",""
"Nylone silk Tie & Dyed saree with zari border","Nylone silk Tie & Dyed saree with zari border","Nylone silk Tie & Dyed saree with zari border","Nylone silk Tie & Dyed saree with zari border","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Ethnic Wear","Sarees","gqb7g-Free Size","","","365","3","3","","","","Nylone silk Tie & Dyed saree with zari border N-gqb7g","flat_off","","","","Nylone silk Tie & Dyed saree with zari border N-gqb7g","https://images.meesho.com/images/products/28101436/9e296_512.jpg","0","Sample Text","Sample Text","","","false","LIG","LOCAL","","","","India"
"Kanjeevaram silk zari woven saree with self design ","Kanjeevaram silk zari woven saree with self design ","Kanjeevaram silk zari woven saree with self design ","Kanjeevaram silk zari woven saree with self design ","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Ethnic Wear","Sarees","afdp3-Free Size","","","365","3","3","","","","Kanjeevaram silk zari woven saree with self design  K-afdp3","flat_off","","","","Kanjeevaram silk zari woven saree with self design  K-afdp3","https://images.meesho.com/images/products/17513751/4775c_512.jpg","0","Sample Text","Sample Text","","","false","LIG","LOCAL","","","","India"
"Trendy Stylish Women's Saree","Trendy Stylish Women's Saree","Trendy Stylish Women's Saree","Trendy Stylish Women's Saree","NEW_CITIES,GHAZIABAD_CAT,JAIPUR_CAT,SNP_CAT,LUCKNOW_CAT,DELHI_NCR,DELHI_NCR_DELHI,VARANASI_CAT,REWARI","","","","percentage_off","0","sell_at","","","","","MARKETPLACE","","","Fashion","Ladies Fashion","Ethnic Wear","Sarees","2kl3l-Free Size","","","365","3","3","","","","Trendy Stylish Women's Saree T-2kl3l","flat_off","","","","Trendy Stylish Women's Saree T-2kl3l","https://images.meesho.com/images/products/4319697/1_512.jpg","0","Sample Text","Sample Text","","","false","LIG","LOCAL","","","",""
