sku_id,catalogues,product_status
CM10000011,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000012,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000013,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000014,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000015,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000016,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000017,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000018,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000019,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000020,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000021,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000022,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000023,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000024,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
CM10000025,"DELHI_NCR,NEW_CITIES,DELHI_NCR_DELHI,REWARI,SONIPAT,MEERUT,GHAZIABAD,GHAZIABAD_CAT,LUCKNOW_CAT,NEW_CITIES_DS,DELHI_NCR_DS,VARANASI_CAT,SNP_CAT",Active
